Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
closeApplication(),,,2019-03-28 13:25:09,2019-03-28 13:25:11,2.311s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:25:11,2019-03-28 13:26:34,1m - 23.207s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:25:11,2019-03-28 13:26:18,1m - 6.963s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:26:18,2019-03-28 13:26:25,6.772s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:26:25,2019-03-28 13:26:27,2.157s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:26:27,2019-03-28 13:26:29,1.698s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:26:29,2019-03-28 13:26:31,2.587s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:26:31,2019-03-28 13:26:32,0.614s,PASSED
closeApplication(),,,2019-03-28 13:26:32,2019-03-28 13:26:34,2.370s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:26:34,2019-03-28 13:27:54,1m - 19.507s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:26:34,2019-03-28 13:27:37,1m - 2.979s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:27:37,2019-03-28 13:27:44,6.971s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:27:44,2019-03-28 13:27:46,2.020s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:27:46,2019-03-28 13:27:48,1.846s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:27:48,2019-03-28 13:27:51,2.776s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:27:51,2019-03-28 13:27:51,0.632s,PASSED
closeApplication(),,,2019-03-28 13:27:51,2019-03-28 13:27:54,2.258s,PASSED
